背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,鎌苅 翔,3,■,■,■,,,18,8,0,44.4,2.67,0,0,0,-,5,1.67,9,0,0,0,0.0,0,0.0,0.0,-
2,,赤松 圭介,3,■,■,■,,,34,17,2,50.0,5.67,14,5,1,35.7,0,-,10,2,0,5,32.5,0,0.0,0.0,-
3,L,早瀬川 雄也,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,5.0,6.0,50.0
4,,岡崎 誠,3,■,■,■,,,17,6,0,35.3,2.00,1,0,0,0.0,1,0.33,11,1,5,1,0.0,2,0.0,0.0,0.0
5,,丸一 達也,3,■,■,■,,,7,5,1,71.4,1.67,0,0,0,-,4,1.33,14,0,2,3,1.8,0,0.0,0.0,-
6,,阪根 彩斗,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,蓑田 蓮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,野口 拓朗,3,■,■,■,,,11,2,1,18.2,0.67,0,0,0,-,1,0.33,11,0,0,0,0.0,40,15.0,12.0,52.5
9,,田中 誠,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,2,0.67,18,0,0,5,6.9,0,0.0,0.0,-
10,L,寺田 晃聖,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,籠 樹,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,3,1,1,1,33.3,0,0.0,0.0,-
14,,守山 巧,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
16,,谷口 裕太郎,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,田中 伸哉,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,88,38,4,43.2,12.67,15,5,1,33.3,13,4.33,77,4,8,15,7.5,58,20.0,18.0,50.0
