背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,須崎 杏,3,■,■,■,,,24,10,0,41.7,3.33,0,0,0,-,1,0.33,5,0,0,3,15.0,0,0.0,0.0,-
6,,矢萩 ももこ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,鬼頭 朋子,2,□,,□,,,3,1,0,33.3,0.50,0,0,0,-,0,-,3,0,1,1,8.3,0,0.0,0.0,-
8,L,谷内 真美,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,10.0,0.0,52.6
9,L,丸山 佳穂,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,柿沼 杏奈,3,■,■,■,,,31,6,1,19.4,2.00,0,0,0,-,0,-,11,0,0,6,13.6,21,5.0,0.0,23.8
11,,齋藤 朱音,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,4,0,1,1,6.2,0,0.0,0.0,-
12,,土屋 智菜実,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,三好 紗弥香,3,■,■,■,,,40,9,3,22.5,3.00,0,0,0,-,1,0.33,11,1,4,3,15.9,17,10.0,0.0,58.8
14,,鈴木 日葵,3,■,■,■,,,17,10,0,58.8,3.33,0,0,0,-,3,1.00,5,0,0,2,10.0,0,0.0,0.0,-
15,,寺坂 茜,3,■,■,■,,,25,9,2,36.0,3.00,5,2,0,40.0,0,-,19,2,0,6,18.4,0,0.0,0.0,-
16,,小林 愛里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,栗田 楓,3,■,■,■,,,4,1,0,25.0,0.33,0,0,0,-,1,0.33,17,0,0,6,8.8,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,144,46,6,31.9,15.33,5,2,0,40.0,6,2.00,75,3,6,28,13.3,57,25.0,0.0,43.9
