背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
3,,和途 綾香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
5,,菅井 美貴,4,■,■,■,■,,5,2,1,40.0,0.50,0,0,0,-,1,0.25,19,0,1,8,10.5,0,0.0,0.0,-
6,,柴小屋 志織,4,■,■,■,■,,32,8,0,25.0,2.00,0,0,0,-,1,0.25,14,1,3,4,12.9,0,0.0,0.0,-
7,L,徳田 亜留美,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,43,32.0,0.0,74.4
8,,菅原 麻衣,4,■,■,■,■,,30,11,2,36.7,2.75,0,0,0,-,0,-,15,0,2,2,3.3,0,0.0,0.0,-
9,,山内 佑里子,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,0.0,0.0
10,,多田 遥,4,■,■,■,■,,48,15,1,31.2,3.75,4,1,0,25.0,2,0.50,15,1,1,6,15.3,17,8.0,0.0,47.1
11,,加藤 彩夏,4,■,■,■,■,,36,16,1,44.4,4.00,0,0,0,-,1,0.25,13,0,0,3,5.8,22,14.0,0.0,63.6
12,,山本 莉来,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
14,,田中 静香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,小野 綾華,4,■,■,■,■,,63,16,5,25.4,4.00,4,1,0,25.0,1,0.25,19,2,1,8,18.9,0,0.0,0.0,-
20,,澁谷 美妃,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,0.0,0.0
チーム合計,チーム合計,チーム合計,4,,,,,,214,68,10,31.8,17.00,8,2,0,25.0,6,1.50,98,4,8,31,11.2,84,54.0,0.0,64.3
