背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
3,L,佐藤 円,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,8.0,6.0,55.0
4,,櫻井 樹里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
5,,中田 香澄,3,,□,□,■,,16,5,0,31.2,1.67,0,0,0,-,0,-,5,0,2,1,-5.0,2,1.0,1.0,75.0
6,,松尾 由紀子,2,,,□,■,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
8,,田村 愛美,5,■,■,■,□,■,4,0,0,0.0,-,0,0,0,-,0,-,13,0,0,3,5.8,0,0.0,0.0,-
9,,戸田 さやか,5,■,■,■,■,■,24,10,0,41.7,2.00,0,0,0,-,1,0.20,20,2,2,6,15.0,1,0.0,1.0,50.0
10,,三澤 未憂,2,,□,,,□,0,0,0,-,-,0,0,0,-,0,-,4,0,0,2,12.5,1,0.0,0.0,0.0
11,L,森 寿実子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,佐藤 梨夏,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,丹野 瑞希,5,■,■,■,□,■,42,8,1,19.0,1.60,0,0,0,-,1,0.20,11,0,0,5,11.4,4,1.0,1.0,37.5
15,,浅川 希,5,■,■,■,■,■,62,19,6,30.6,3.80,0,0,0,-,2,0.40,15,1,2,6,13.3,71,44.0,14.0,71.8
16,,江川 優貴,5,■,■,■,■,■,71,21,4,29.6,4.20,6,2,0,33.3,0,-,18,0,3,2,-1.4,0,0.0,0.0,-
17,,柳沢 紫子,5,■,■,■,■,■,29,6,1,20.7,1.20,0,0,0,-,7,1.40,15,1,0,4,13.3,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,248,69,12,27.8,13.80,6,2,0,33.3,11,2.20,103,4,9,30,9.0,99,54.0,23.0,66.2
